Claim_ID,Age_Group,Income_Bracket,Settlement_Team,Policy_Type,Claim_Amount,Claim_Duration_Days,Premium_Amount,Num_Prior_Claims,Policy_Tenure_Years,Gender,Region,Settlement_Status
CLM00039,46-60,Low (<30K),Team A,Term Life,13605.37,27,2035.66,2,18,Female,West,Rejected
CLM00040,31-45,Middle (30K-70K),Team B,Term Life,4147.38,117,1556.61,2,16,Male,Central,Rejected
CLM00041,18-30,High (70K-150K),Team A,Term Life,28989.97,111,919.8,1,2,Female,North,Rejected
CLM00042,31-45,Low (<30K),Team D,Whole Life,13674.08,40,930.45,1,15,Male,East,Rejected
CLM00043,18-30,Middle (30K-70K),Team A,Term Life,825.2,97,1029.27,4,13,Female,North,Settled
CLM00044,60+,Middle (30K-70K),Team B,Term Life,34171.79,84,2035.41,2,13,Male,West,Rejected
CLM00045,31-45,Premium (150K+),Team C,Whole Life,12976.83,14,3686.14,1,16,Female,West,Settled
CLM00046,46-60,Middle (30K-70K),Team C,Health,56553.45,100,1932.41,1,8,Male,West,Rejected
CLM00047,31-45,High (70K-150K),Team B,Term Life,3589.17,69,1760.4,1,11,Female,West,Settled
CLM00048,31-45,Middle (30K-70K),Team B,Health,295.29,87,4761.43,0,8,Female,Central,Settled
CLM00049,31-45,Low (<30K),Team B,Health,18674.25,109,1868.84,0,22,Female,South,Rejected
CLM00050,18-30,High (70K-150K),Team B,Health,18956.01,79,1171.11,3,10,Male,South,Rejected
CLM00051,60+,Premium (150K+),Team A,Auto,1756.7,6,813.88,2,23,Female,Central,Settled
CLM00052,46-60,High (70K-150K),Team B,Term Life,4129.04,33,4995.82,1,1,Male,South,Rejected
CLM00053,60+,High (70K-150K),Team B,Term Life,364492.51,55,1389.2,1,12,Male,West,Rejected
CLM00054,60+,Premium (150K+),Team B,Auto,9258.22,19,1138.13,1,9,Male,South,Rejected
CLM00055,46-60,Low (<30K),Team C,Whole Life,32117.32,77,1062.06,3,5,Male,North,Rejected
CLM00056,60+,Low (<30K),Team D,Health,6119.33,29,4775.97,0,9,Female,South,Settled
CLM00057,18-30,High (70K-150K),Team C,Health,1087.5,61,1143.24,1,16,Male,North,Rejected
CLM00058,18-30,Middle (30K-70K),Team A,Health,10890.98,70,3993.29,1,18,Female,East,Settled
CLM00059,18-30,High (70K-150K),Team A,Auto,9713.53,79,1503.68,0,8,Male,North,Rejected
CLM00060,31-45,Premium (150K+),Team D,Auto,8267.99,80,687.66,1,23,Male,North,Settled
CLM00061,31-45,Middle (30K-70K),Team B,Health,11642.66,24,1385.76,0,11,Female,West,Settled
CLM00062,31-45,Low (<30K),Team A,Term Life,18345.18,23,1761.23,0,20,Male,West,Rejected
CLM00063,46-60,High (70K-150K),Team C,Auto,11157.42,112,1648.9,0,19,Male,West,Settled
CLM00064,31-45,Middle (30K-70K),Team C,Term Life,2931.27,10,1616.49,1,4,Male,North,Rejected
CLM00065,31-45,High (70K-150K),Team C,Term Life,23942.77,54,1397.51,2,20,Male,Central,Rejected
CLM00066,31-45,Middle (30K-70K),Team B,Auto,1287.88,105,964.87,1,10,Female,West,Rejected
CLM00067,18-30,High (70K-150K),Team A,Term Life,1140.9,41,1823.64,1,24,Male,West,Rejected
CLM00068,46-60,Low (<30K),Team D,Term Life,32435.75,49,2787.11,1,13,Male,North,Rejected
CLM00069,18-30,High (70K-150K),Team B,Term Life,24548.95,17,561.11,1,20,Female,East,Rejected
CLM00070,60+,Middle (30K-70K),Team C,Auto,12470.56,113,5111.51,2,14,Female,East,Rejected
CLM00071,46-60,Middle (30K-70K),Team C,Whole Life,2503.54,56,93.94,2,21,Male,South,Rejected
CLM00072,18-30,Low (<30K),Team C,Health,5713.04,108,1920.23,0,2,Female,East,Rejected
CLM00073,18-30,High (70K-150K),Team B,Term Life,9746.89,45,2625.09,3,4,Male,West,Rejected
CLM00074,46-60,Premium (150K+),Team B,Health,1968.3,30,1115.79,3,7,Male,Central,Rejected
CLM00075,46-60,Low (<30K),Team C,Health,5503.64,44,330.08,0,19,Male,South,Settled
CLM00076,46-60,Low (<30K),Team D,Whole Life,29225.49,110,1673.41,1,17,Female,Central,Rejected
CLM00077,46-60,Low (<30K),Team D,Whole Life,74070.04,74,2070.94,4,16,Male,Central,Rejected
CLM00078,18-30,High (70K-150K),Team A,Term Life,8076.21,55,721.28,1,13,Female,West,Settled
CLM00079,31-45,High (70K-150K),Team A,Auto,33116.47,19,930.66,1,24,Male,North,Rejected
CLM00080,18-30,Middle (30K-70K),Team D,Health,1343.63,29,3905.61,1,24,Male,North,Rejected
CLM00081,60+,Low (<30K),Team C,Auto,29476.29,2,1986.53,1,22,Female,North,Rejected
CLM00082,46-60,Middle (30K-70K),Team D,Whole Life,5091.16,36,540.8,1,23,Male,East,Settled
CLM00083,31-45,Middle (30K-70K),Team A,Health,19318.43,19,2591.17,1,18,Male,North,Rejected
CLM00084,18-30,Middle (30K-70K),Team C,Health,9923.86,7,858.84,2,21,Male,West,Settled
CLM00085,31-45,Premium (150K+),Team C,Health,65153.21,26,972.81,1,12,Male,East,Settled
CLM00086,31-45,Low (<30K),Team C,Auto,4678.24,79,2117.78,0,23,Male,North,Rejected
CLM00087,46-60,High (70K-150K),Team B,Whole Life,28371.14,111,1965.68,1,1,Male,Central,Rejected
CLM00088,46-60,Middle (30K-70K),Team A,Term Life,9552.81,38,1310.17,0,15,Male,West,Rejected
CLM00089,60+,Middle (30K-70K),Team C,Health,11048.32,3,1207.89,0,3,Male,West,Settled
CLM00090,31-45,High (70K-150K),Team B,Health,10714.74,102,1479.35,3,6,Female,South,Settled
CLM00091,18-30,High (70K-150K),Team B,Health,4842.53,80,968.28,1,14,Male,West,Rejected
CLM00092,46-60,Premium (150K+),Team D,Term Life,13135.6,66,4320.86,0,23,Male,Central,Settled
CLM00093,46-60,Low (<30K),Team B,Whole Life,12392.2,95,515.25,1,6,Female,West,Rejected
CLM00094,46-60,Low (<30K),Team D,Whole Life,17845.17,92,1491.14,3,1,Female,South,Rejected
CLM00095,46-60,High (70K-150K),Team A,Whole Life,14785.56,71,562.55,2,20,Male,West,Rejected
CLM00096,31-45,Middle (30K-70K),Team C,Health,34807.68,94,3823.04,1,6,Male,West,Settled
CLM00097,31-45,Middle (30K-70K),Team D,Health,40465.71,43,1489.43,1,8,Female,South,Rejected
CLM00098,31-45,Low (<30K),Team A,Term Life,3786.71,62,776.4,1,15,Male,West,Rejected
CLM00099,18-30,Low (<30K),Team A,Whole Life,37893.2,71,3127.65,1,14,Female,East,Rejected
CLM00100,18-30,Premium (150K+),Team B,Term Life,3217.62,100,289.01,2,16,Female,West,Settled
CLM00101,18-30,Low (<30K),Team A,Term Life,27049.59,93,2263.59,3,20,Female,North,Rejected
CLM00102,46-60,Middle (30K-70K),Team C,Health,28104.54,24,4541.59,2,23,Male,North,Settled
CLM00103,31-45,Low (<30K),Team D,Auto,1348.06,116,2087.32,0,16,Female,East,Rejected
CLM00104,31-45,Middle (30K-70K),Team B,Whole Life,14936.68,39,1205.67,1,19,Male,West,Rejected
CLM00105,60+,Low (<30K),Team B,Health,7614.46,68,669.31,0,24,Female,Central,Rejected
CLM00106,31-45,Middle (30K-70K),Team B,Auto,5374.83,93,4298.46,2,1,Male,West,Rejected
CLM00107,31-45,Low (<30K),Team C,Health,67576.99,44,3796.89,3,4,Female,North,Rejected
CLM00108,46-60,High (70K-150K),Team A,Term Life,6097.2,5,1078.91,0,24,Female,South,Settled
CLM00109,31-45,Low (<30K),Team C,Auto,5076.35,55,1102.23,0,10,Female,East,Rejected
CLM00110,18-30,Middle (30K-70K),Team C,Whole Life,14630.06,93,4672.33,1,20,Female,South,Rejected
CLM00111,31-45,Premium (150K+),Team C,Whole Life,30415.5,30,2766.37,2,18,Male,Central,Rejected
CLM00112,18-30,High (70K-150K),Team A,Term Life,11271.38,29,433.0,1,2,Female,West,Rejected
CLM00113,60+,Middle (30K-70K),Team C,Whole Life,54157.12,26,1546.02,2,4,Male,Central,Rejected
CLM00114,46-60,Middle (30K-70K),Team A,Term Life,25264.89,83,1501.1,3,15,Female,South,Rejected
CLM00115,46-60,Middle (30K-70K),Team A,Term Life,978.62,26,2204.17,1,4,Male,West,Rejected
CLM00116,60+,High (70K-150K),Team D,Whole Life,7077.24,37,1816.81,3,16,Male,Central,Settled
CLM00117,46-60,Premium (150K+),Team C,Health,6807.56,91,1199.71,0,15,Female,North,Rejected
CLM00118,18-30,High (70K-150K),Team A,Auto,23747.51,94,2085.34,0,18,Male,North,Rejected
CLM00119,60+,Middle (30K-70K),Team A,Whole Life,572.62,115,1263.67,1,7,Female,East,Settled
CLM00120,31-45,High (70K-150K),Team A,Auto,284591.94,53,27759.95,0,15,Female,North,Settled
CLM00121,46-60,Middle (30K-70K),Team B,Auto,25266.41,30,1994.57,3,22,Male,North,Rejected
CLM00122,60+,Low (<30K),Team A,Health,15972.95,3,1786.91,2,11,Male,South,Settled
CLM00123,31-45,Middle (30K-70K),Team A,Term Life,55153.82,43,7897.06,0,19,Female,North,Settled
CLM00124,18-30,Premium (150K+),Team B,Health,222433.81,7,607.0,2,8,Male,North,Rejected
CLM00125,31-45,Low (<30K),Team C,Auto,37983.08,49,1655.77,1,24,Female,South,Rejected
CLM00126,31-45,High (70K-150K),Team C,Health,41713.32,73,845.83,0,1,Female,North,Rejected
CLM00127,46-60,Low (<30K),Team C,Whole Life,15628.13,117,3004.93,4,3,Female,North,Rejected
CLM00128,60+,Middle (30K-70K),Team A,Whole Life,11273.04,41,1217.46,1,5,Female,East,Settled
CLM00129,18-30,Low (<30K),Team D,Health,7548.06,106,2875.77,1,18,Female,North,Settled
CLM00130,31-45,Middle (30K-70K),Team D,Whole Life,4957.54,77,2714.71,0,12,Female,North,Settled
CLM00131,31-45,High (70K-150K),Team D,Term Life,5858.11,79,3375.5,2,12,Female,East,Settled
CLM00132,31-45,Middle (30K-70K),Team D,Whole Life,2642.11,54,2750.71,1,21,Female,South,Rejected
CLM00133,18-30,High (70K-150K),Team D,Health,12197.11,69,1511.36,0,19,Male,North,Settled
CLM00134,31-45,High (70K-150K),Team B,Auto,1769.41,93,591.04,3,9,Male,Central,Settled
CLM00135,60+,Premium (150K+),Team A,Term Life,16799.42,99,4053.22,0,11,Female,South,Settled
CLM00136,31-45,Low (<30K),Team C,Auto,12789.8,91,5581.55,3,17,Female,South,Rejected
CLM00137,31-45,Middle (30K-70K),Team C,Whole Life,15935.78,27,853.81,4,16,Male,North,Settled
CLM00138,46-60,Low (<30K),Team C,Health,7139.81,8,3257.46,3,4,Male,East,Settled
CLM00139,31-45,Premium (150K+),Team B,Health,536183.88,32,708.9,2,10,Female,South,Rejected
CLM00140,60+,Premium (150K+),Team A,Health,68332.38,84,2127.59,0,22,Male,East,Settled
CLM00141,60+,Middle (30K-70K),Team B,Auto,3000.54,64,2508.74,3,15,Male,Central,Settled
CLM00142,31-45,High (70K-150K),Team D,Whole Life,17666.79,10,1285.66,1,19,Male,East,Settled
CLM00143,31-45,Middle (30K-70K),Team C,Auto,6440.7,13,1950.92,0,3,Female,West,Settled
CLM00144,31-45,High (70K-150K),Team B,Term Life,3954.56,63,3563.73,3,21,Male,East,Settled
CLM00145,31-45,Low (<30K),Team B,Health,2675.56,93,1656.51,1,23,Male,South,Settled
CLM00146,18-30,High (70K-150K),Team B,Health,22441.34,35,1053.52,0,5,Male,East,Settled
CLM00147,46-60,Low (<30K),Team D,Health,5897.85,61,679.24,4,11,Male,East,Rejected
CLM00148,31-45,High (70K-150K),Team C,Term Life,42675.97,54,1322.64,1,24,Female,West,Settled
CLM00149,18-30,High (70K-150K),Team C,Auto,44026.13,8,706.43,0,5,Female,West,Settled
CLM00150,31-45,High (70K-150K),Team B,Term Life,69473.26,29,1336.88,2,7,Male,North,Rejected
CLM00151,60+,Low (<30K),Team C,Term Life,4803.67,95,1246.14,0,6,Male,South,Settled
CLM00152,31-45,Middle (30K-70K),Team A,Health,23633.93,41,3440.2,2,13,Female,North,Settled
CLM00153,18-30,Middle (30K-70K),Team C,Whole Life,28536.67,30,1917.5,1,2,Male,West,Settled
CLM00154,31-45,Middle (30K-70K),Team B,Health,7562.72,86,13874.5,1,19,Female,East,Settled
CLM00155,60+,Low (<30K),Team B,Whole Life,5291.59,21,361.09,0,11,Male,West,Rejected
CLM00156,31-45,Premium (150K+),Team C,Term Life,92173.21,76,2323.19,3,20,Male,Central,Settled
CLM00157,46-60,Middle (30K-70K),Team D,Health,17553.26,11,1259.86,0,5,Male,East,Settled
CLM00158,46-60,Middle (30K-70K),Team A,Whole Life,28657.24,2,841.48,1,9,Female,North,Settled
CLM00159,31-45,Middle (30K-70K),Team D,Term Life,4981.61,50,1765.49,0,6,Male,East,Rejected
CLM00160,46-60,Middle (30K-70K),Team B,Health,3092.88,41,1662.88,2,17,Male,Central,Rejected
CLM00161,31-45,High (70K-150K),Team B,Whole Life,6745.7,66,4282.32,1,19,Male,West,Rejected
CLM00162,46-60,Middle (30K-70K),Team A,Health,11512.33,98,1944.98,1,23,Male,South,Rejected
CLM00163,46-60,Premium (150K+),Team B,Whole Life,3725.42,3,1038.73,2,8,Male,South,Rejected
CLM00164,31-45,Middle (30K-70K),Team B,Health,13202.83,80,2362.25,3,7,Male,South,Rejected
CLM00165,18-30,Premium (150K+),Team A,Health,1761.28,51,1504.59,1,5,Male,West,Settled
CLM00166,46-60,Premium (150K+),Team B,Health,3484.02,68,734.81,5,15,Female,South,Settled
CLM00167,31-45,Low (<30K),Team D,Term Life,29884.45,87,1482.02,2,10,Female,Central,Settled
CLM00168,18-30,Premium (150K+),Team A,Health,27571.8,114,2174.93,1,24,Male,West,Settled
CLM00169,18-30,Low (<30K),Team C,Health,8347.75,84,1915.68,0,16,Male,South,Rejected
CLM00170,46-60,High (70K-150K),Team B,Health,3939.0,25,2354.89,2,9,Female,North,Settled
CLM00171,46-60,Middle (30K-70K),Team C,Whole Life,3893.7,30,1186.56,3,7,Male,West,Rejected
CLM00172,18-30,Premium (150K+),Team B,Auto,8536.26,82,2331.09,4,11,Male,West,Settled
CLM00173,31-45,Premium (150K+),Team A,Health,28952.8,106,1990.4,1,9,Female,East,Settled
CLM00174,31-45,High (70K-150K),Team A,Term Life,40696.4,11,2003.36,1,17,Female,South,Settled
CLM00175,46-60,High (70K-150K),Team A,Whole Life,7362.55,93,1855.46,1,9,Male,North,Settled
CLM00176,18-30,Middle (30K-70K),Team A,Auto,3346.96,17,10310.05,0,3,Male,Central,Settled
CLM00177,46-60,Low (<30K),Team C,Term Life,18424.05,26,4394.46,1,22,Female,West,Rejected
CLM00178,31-45,Middle (30K-70K),Team D,Auto,4972.9,23,2290.01,3,8,Male,Central,Rejected
CLM00179,60+,Low (<30K),Team D,Health,7173.13,56,953.21,1,19,Female,Central,Rejected
CLM00180,18-30,High (70K-150K),Team C,Health,65534.45,52,1431.01,1,20,Male,Central,Settled
CLM00181,31-45,Middle (30K-70K),Team A,Term Life,36045.54,48,6585.53,3,16,Male,East,Rejected
CLM00182,18-30,Premium (150K+),Team B,Term Life,16148.29,20,1152.46,1,7,Female,Central,Settled
CLM00183,60+,High (70K-150K),Team B,Auto,2903.57,109,1583.54,1,7,Female,South,Settled
CLM00184,60+,High (70K-150K),Team A,Term Life,17217.4,2,1514.56,1,20,Female,South,Rejected
CLM00185,31-45,Low (<30K),Team B,Health,47819.5,88,2426.75,4,13,Male,North,Rejected
CLM00186,46-60,Premium (150K+),Team B,Whole Life,8512.06,31,1274.98,4,3,Female,North,Settled
CLM00187,46-60,Premium (150K+),Team B,Term Life,67598.22,27,2082.84,0,12,Female,Central,Settled
CLM00188,46-60,Middle (30K-70K),Team B,Term Life,63025.48,2,1297.96,1,24,Female,Central,Rejected
CLM00189,31-45,High (70K-150K),Team D,Whole Life,98368.84,78,5175.07,3,8,Female,East,Settled
CLM00190,31-45,High (70K-150K),Team C,Auto,19269.75,4,1044.17,1,13,Male,Central,Settled
CLM00191,18-30,Low (<30K),Team B,Whole Life,27034.53,113,3952.55,1,20,Male,Central,Rejected
CLM00192,60+,Middle (30K-70K),Team D,Whole Life,72913.18,13,1132.17,2,16,Female,Central,Rejected
CLM00193,60+,Middle (30K-70K),Team D,Whole Life,22853.8,100,913.24,1,7,Female,West,Rejected
CLM00194,46-60,Low (<30K),Team B,Whole Life,7321.12,35,1032.12,1,4,Male,West,Rejected
CLM00195,31-45,Middle (30K-70K),Team B,Whole Life,7798.98,108,459.83,1,12,Male,East,Settled
CLM00196,31-45,Low (<30K),Team B,Auto,17787.76,118,2567.99,1,17,Female,East,Rejected
CLM00197,46-60,Low (<30K),Team D,Whole Life,2839.34,119,712.53,2,1,Male,South,Settled
CLM00198,60+,Low (<30K),Team D,Whole Life,11249.62,72,1357.86,2,17,Female,East,Rejected
CLM00199,60+,Premium (150K+),Team A,Term Life,49804.3,66,3325.24,0,2,Male,South,Settled
CLM00200,46-60,Middle (30K-70K),Team B,Auto,963.43,6,3240.5,1,6,Female,Central,Settled
CLM00201,46-60,Premium (150K+),Team C,Term Life,84236.07,31,575.17,0,12,Male,East,Rejected
CLM00202,18-30,Middle (30K-70K),Team B,Term Life,51372.03,118,2317.94,1,11,Male,East,Rejected
CLM00203,18-30,Middle (30K-70K),Team A,Health,7694.66,10,4502.53,1,21,Male,East,Rejected
CLM00204,60+,Middle (30K-70K),Team D,Health,25644.1,108,1086.29,2,11,Female,South,Rejected
CLM00205,46-60,Middle (30K-70K),Team C,Whole Life,13410.29,21,2726.73,0,18,Female,South,Rejected
CLM00206,18-30,Low (<30K),Team D,Whole Life,58453.59,106,724.42,2,8,Female,North,Rejected
CLM00207,18-30,High (70K-150K),Team D,Health,43443.64,74,2461.5,2,7,Male,South,Settled
CLM00208,46-60,Low (<30K),Team C,Term Life,2489.69,23,2008.25,4,14,Female,South,Rejected
CLM00209,18-30,High (70K-150K),Team B,Health,27030.33,3,3068.42,2,16,Female,West,Rejected
CLM00210,18-30,High (70K-150K),Team C,Health,10438.4,32,2919.94,1,12,Female,East,Settled
CLM00211,31-45,Low (<30K),Team A,Whole Life,14755.91,20,612.29,0,9,Female,South,Settled
CLM00212,46-60,Low (<30K),Team C,Whole Life,5575.81,74,2016.75,1,20,Male,East,Rejected
CLM00213,46-60,High (70K-150K),Team A,Term Life,108854.18,29,5780.99,1,23,Female,East,Rejected
CLM00214,31-45,Middle (30K-70K),Team C,Health,46540.31,105,314.74,1,21,Female,West,Settled
CLM00215,46-60,Low (<30K),Team A,Whole Life,5498.74,52,3918.8,0,16,Female,East,Settled
CLM00216,31-45,Premium (150K+),Team A,Whole Life,2693.15,115,6511.75,1,21,Female,South,Rejected
CLM00217,31-45,Low (<30K),Team A,Health,8410.14,46,551.31,1,19,Male,East,Rejected
CLM00218,46-60,High (70K-150K),Team A,Auto,22502.98,34,1057.27,4,16,Female,North,Settled
CLM00219,46-60,Premium (150K+),Team C,Whole Life,17823.04,101,2735.84,2,9,Female,North,Settled
CLM00220,46-60,Low (<30K),Team C,Auto,60099.66,84,889.89,0,13,Male,West,Rejected
CLM00221,46-60,Low (<30K),Team B,Whole Life,34472.03,61,5386.57,0,5,Female,South,Rejected
CLM00222,46-60,Low (<30K),Team A,Term Life,42765.32,72,4218.0,2,22,Male,West,Rejected
CLM00223,18-30,Middle (30K-70K),Team A,Term Life,19776.04,71,597.07,1,19,Male,North,Settled
CLM00224,31-45,Low (<30K),Team A,Whole Life,2522.09,70,997.8,1,10,Female,South,Settled
CLM00225,31-45,High (70K-150K),Team A,Term Life,10563.52,11,3347.17,4,7,Male,East,Settled
CLM00226,31-45,Low (<30K),Team D,Term Life,47672.39,108,3243.89,0,9,Male,South,Settled
CLM00227,60+,Middle (30K-70K),Team A,Auto,12558.74,82,10665.31,3,14,Male,Central,Settled
CLM00228,31-45,Premium (150K+),Team B,Health,24433.45,115,894.35,0,15,Male,South,Settled
CLM00229,60+,High (70K-150K),Team A,Health,9113.41,106,5810.22,1,13,Male,East,Rejected
CLM00230,46-60,High (70K-150K),Team A,Term Life,3882.47,93,870.33,0,10,Male,Central,Settled
CLM00231,46-60,Middle (30K-70K),Team B,Term Life,11521.7,89,2697.97,2,14,Male,West,Rejected
CLM00232,31-45,High (70K-150K),Team C,Term Life,19357.92,63,3691.82,2,21,Male,South,Settled
CLM00233,46-60,Middle (30K-70K),Team A,Health,6082.52,21,164.82,2,23,Female,West,Rejected
CLM00234,31-45,Middle (30K-70K),Team A,Auto,10068.29,110,3747.95,3,12,Female,South,Settled
CLM00235,18-30,Low (<30K),Team B,Whole Life,4327.06,3,5473.4,4,19,Female,North,Rejected
CLM00236,46-60,Premium (150K+),Team A,Term Life,51179.48,82,4344.67,3,6,Female,North,Settled
CLM00237,31-45,Middle (30K-70K),Team A,Whole Life,9382.98,88,9345.69,4,12,Male,East,Settled
CLM00238,18-30,Low (<30K),Team D,Whole Life,76367.05,111,3913.32,5,24,Female,North,Rejected
CLM00239,46-60,Middle (30K-70K),Team C,Whole Life,83658.43,102,1176.43,1,13,Female,Central,Rejected
CLM00240,18-30,Middle (30K-70K),Team C,Health,12121.61,10,4871.75,2,8,Male,Central,Rejected
CLM00241,60+,High (70K-150K),Team B,Health,3983.28,27,1124.2,0,16,Male,South,Rejected
CLM00242,60+,High (70K-150K),Team B,Term Life,1093.26,12,1931.27,0,2,Male,West,Rejected
CLM00243,60+,High (70K-150K),Team B,Term Life,2283.71,7,3517.22,0,22,Female,Central,Rejected
CLM00244,31-45,Low (<30K),Team C,Auto,2569.32,17,2587.54,0,7,Male,South,Rejected
CLM00245,18-30,Middle (30K-70K),Team C,Term Life,69854.06,65,5328.93,1,12,Female,West,Rejected
CLM00246,60+,Middle (30K-70K),Team A,Term Life,15351.82,64,13239.23,0,7,Male,North,Settled
CLM00247,31-45,Low (<30K),Team B,Term Life,21322.66,114,727.86,0,19,Male,South,Rejected
CLM00248,60+,Middle (30K-70K),Team B,Term Life,930.29,26,1390.38,2,14,Female,West,Rejected
CLM00249,60+,High (70K-150K),Team D,Whole Life,3173.02,15,2328.79,2,9,Female,East,Rejected
CLM00250,60+,Low (<30K),Team C,Health,38734.88,115,1248.19,1,18,Male,East,Rejected
CLM00251,31-45,Middle (30K-70K),Team B,Whole Life,18847.38,33,1701.79,1,11,Female,Central,Rejected
CLM00252,31-45,Low (<30K),Team A,Whole Life,11196.47,62,3363.23,1,16,Male,West,Settled
CLM00253,60+,Low (<30K),Team C,Health,26312.8,101,3023.97,2,19,Female,East,Settled
CLM00254,31-45,Low (<30K),Team A,Whole Life,95125.98,47,2203.64,1,11,Female,Central,Settled
CLM00255,18-30,Premium (150K+),Team B,Auto,10247.09,95,2034.86,1,18,Female,South,Rejected
CLM00256,46-60,High (70K-150K),Team A,Auto,14519.44,35,1511.57,0,11,Male,South,Rejected
CLM00257,60+,Premium (150K+),Team C,Term Life,16833.33,65,5561.47,2,4,Male,West,Settled
CLM00258,46-60,Middle (30K-70K),Team A,Health,235751.03,72,6841.15,0,18,Female,West,Rejected
CLM00259,46-60,Low (<30K),Team B,Whole Life,1075.75,76,4084.89,1,19,Male,West,Settled
CLM00260,18-30,Middle (30K-70K),Team D,Auto,30329.24,118,720.9,1,13,Female,West,Settled
CLM00261,46-60,Middle (30K-70K),Team A,Whole Life,11640.4,83,1465.91,1,4,Female,East,Rejected
CLM00262,60+,High (70K-150K),Team B,Auto,26373.79,25,2121.19,0,10,Male,East,Rejected
CLM00263,18-30,Low (<30K),Team B,Health,6070.24,57,851.88,1,22,Female,Central,Rejected
CLM00264,31-45,Middle (30K-70K),Team A,Term Life,12597.35,32,1926.13,2,5,Male,East,Rejected
